"";"x"
"1";1
"2";3
"3";2
"4";5
"5";8
"6";1
"7";2
"8";2
"9";5
"10";7
"11";1
"12";5
"13";2
"14";2
"15";5
"16";8
"17";4
"18";6
"19";1
"20";8
"21";1
"22";5
"23";4
"24";1
"25";1
"26";1
"27";4
"28";7
"29";1
"30";4
"31";4
"32";8
"33";2
"34";6
"35";1
"36";6
"37";5
"38";7
"39";6
"40";2
"41";2
"42";1
"43";2
"44";5
"45";5
"46";1
"47";1
"48";5
"49";4
"50";1
"51";5
"52";5
"53";4
"54";5
"55";1
"56";5
"57";4
"58";8
"59";5
"60";6
"61";4
"62";1
"63";8
"64";5
"65";8
"66";2
"67";7
"68";8
"69";5
"70";5
"71";4
"72";5
"73";5
"74";7
"75";4
"76";2
"77";2
"78";6
"79";7
"80";2
"81";6
"82";3
"83";5
"84";4
"85";4
"86";4
"87";8
"88";3
"89";8
"90";3
"91";8
"92";3
"93";6
"94";3
"95";6
"96";3
"97";3
"98";3
"99";3
"100";3
"101";8
"102";3
"103";3
"104";3
"105";8
"106";8
"107";8
"108";6
"109";6
"110";7
"111";4
"112";8
"113";8
"114";8
"115";5
"116";3
"117";6
"118";6
"119";6
"120";6
"121";3
"122";3
"123";3
"124";6
"125";8
"126";6
"127";1
"128";6
"129";6
"130";6
"131";6
"132";6
"133";6
"134";8
"135";6
"136";3
"137";3
"138";3
"139";3
"140";3
"141";3
"142";3
"143";3
"144";3
"145";3
"146";3
"147";3
"148";3
"149";3
"150";3
"151";3
"152";8
"153";3
"154";5
"155";3
"156";8
"157";3
"158";3
"159";5
"160";3
"161";3
"162";3
"163";3
"164";5
"165";4
"166";4
"167";2
"168";8
"169";3
"170";8
"171";3
"172";3
"173";3
"174";1
"175";1
"176";1
"177";3
"178";1
"179";3
"180";8
"181";3
"182";1
"183";3
"184";1
"185";3
"186";1
"187";1
"188";1
"189";1
"190";3
"191";3
"192";3
"193";3
"194";3
"195";3
"196";3
"197";1
"198";1
"199";5
"200";1
"201";3
"202";3
"203";3
"204";6
"205";6
"206";6
"207";6
"208";6
"209";6
"210";6
"211";6
"212";6
"213";6
"214";6
"215";6
"216";6
"217";6
"218";6
"219";6
"220";6
"221";6
"222";6
"223";6
"224";6
"225";6
"226";5
"227";5
"228";4
"229";5
"230";4
"231";6
"232";6
"233";6
"234";4
"235";4
"236";4
"237";4
"238";4
"239";4
"240";4
"241";4
"242";5
"243";6
"244";6
"245";6
"246";6
"247";6
"248";6
"249";6
"250";6
"251";6
"252";6
"253";6
"254";3
"255";6
"256";6
"257";6
"258";6
"259";6
"260";6
"261";7
"262";8
"263";2
"264";1
"265";6
"266";5
"267";2
"268";7
"269";5
"270";5
"271";2
"272";5
"273";7
"274";5
"275";7
"276";5
"277";7
"278";8
"279";7
"280";2
"281";2
"282";1
"283";2
"284";1
