"";"x"
"1";9
"2";8
"3";10
"4";5
"5";9
"6";10
"7";10
"8";9
"9";5
"10";7
"11";9
"12";5
"13";10
"14";4
"15";4
"16";7
"17";6
"18";1
"19";8
"20";9
"21";5
"22";9
"23";10
"24";6
"25";4
"26";7
"27";3
"28";10
"29";9
"30";6
"31";10
"32";9
"33";5
"34";6
"35";9
"36";4
"37";9
"38";9
"39";6
"40";5
"41";6
"42";9
"43";4
"44";4
"45";4
"46";9
"47";2
"48";5
"49";4
"50";4
"51";4
"52";4
"53";9
"54";4
"55";5
"56";7
"57";10
"58";4
"59";7
"60";10
"61";8
"62";4
"63";9
"64";6
"65";3
"66";8
"67";8
"68";6
"69";6
"70";8
"71";6
"72";8
"73";6
"74";8
"75";6
"76";8
"77";8
"78";8
"79";8
"80";3
"81";3
"82";3
"83";3
"84";6
"85";3
"86";5
"87";3
"88";3
"89";3
"90";3
"91";3
"92";2
"93";2
"94";3
"95";8
"96";8
"97";8
"98";8
"99";3
"100";3
"101";6
"102";3
"103";3
"104";8
"105";6
"106";6
"107";8
"108";8
"109";6
"110";6
"111";6
"112";8
"113";8
"114";6
"115";8
"116";6
"117";8
"118";8
"119";8
"120";3
"121";3
"122";5
"123";8
"124";8
"125";8
"126";3
"127";8
"128";5
"129";8
"130";8
"131";8
"132";8
"133";8
"134";10
"135";2
"136";8
"137";8
"138";8
"139";8
"140";8
"141";1
"142";1
"143";1
"144";6
"145";1
"146";8
"147";3
"148";5
"149";1
"150";5
"151";1
"152";6
"153";1
"154";1
"155";1
"156";1
"157";6
"158";6
"159";8
"160";8
"161";6
"162";6
"163";6
"164";9
"165";6
"166";5
"167";1
"168";6
"169";6
"170";6
"171";2
"172";2
"173";3
"174";3
"175";3
"176";2
"177";3
"178";3
"179";3
"180";9
"181";5
"182";5
"183";3
"184";3
"185";3
"186";6
"187";7
"188";2
"189";7
"190";9
"191";2
"192";5
"193";9
"194";7
"195";5
"196";4
"197";10
"198";6
"199";7
"200";5
"201";5
"202";5
"203";7
"204";2
"205";3
"206";5
"207";2
"208";6
"209";10
"210";9
