"";"x"
"1";3
"2";4
"3";2
"4";1
"5";4
"6";4
"7";3
"8";2
"9";2
"10";3
"11";2
"12";2
"13";3
"14";2
"15";2
"16";2
"17";3
"18";2
"19";2
"20";3
"21";3
"22";3
"23";1
"24";3
"25";4
"26";3
"27";4
"28";3
"29";4
"30";3
"31";2
"32";3
"33";3
"34";2
"35";3
"36";3
"37";3
"38";4
"39";2
"40";1
"41";3
"42";1
"43";1
"44";2
"45";2
"46";4
"47";1
"48";2
"49";2
"50";3
"51";2
"52";3
"53";3
"54";3
"55";3
"56";2
"57";4
"58";3
"59";3
"60";3
"61";2
"62";4
"63";3
"64";1
"65";3
"66";3
"67";2
"68";2
"69";4
"70";3
"71";1
"72";3
"73";2
"74";1
"75";2
"76";3
"77";3
"78";4
"79";2
"80";1
"81";3
"82";3
"83";4
"84";1
"85";4
"86";4
"87";2
"88";2
"89";4
"90";2
"91";2
"92";3
"93";3
"94";3
"95";4
"96";2
"97";2
"98";3
"99";2
"100";2
"101";1
"102";1
"103";2
"104";2
"105";2
"106";1
"107";3
"108";4
"109";2
"110";3
"111";3
"112";3
"113";3
"114";2
"115";3
"116";2
"117";3
"118";3
"119";4
"120";3
"121";4
"122";4
"123";4
"124";4
"125";4
"126";1
"127";4
"128";1
"129";4
"130";4
"131";4
"132";4
"133";4
"134";4
"135";4
"136";4
"137";4
"138";4
"139";1
"140";1
"141";4
"142";4
"143";3
"144";1
"145";1
"146";1
"147";1
"148";1
"149";1
"150";1
"151";1
"152";1
"153";1
"154";1
"155";2
"156";3
"157";1
"158";1
"159";4
"160";4
"161";4
"162";2
"163";2
"164";4
"165";4
"166";1
"167";1
"168";1
"169";3
"170";4
"171";4
"172";1
"173";1
"174";1
"175";1
"176";4
"177";1
"178";4
"179";1
"180";1
"181";1
"182";4
"183";1
"184";1
"185";4
"186";1
"187";1
"188";1
"189";1
"190";3
"191";1
"192";1
"193";1
"194";1
"195";1
"196";1
"197";1
"198";1
"199";1
"200";1
"201";4
"202";3
"203";4
"204";1
"205";4
"206";4
"207";4
"208";4
"209";4
"210";4
"211";4
"212";4
"213";4
"214";4
"215";4
"216";4
"217";4
"218";4
"219";4
"220";4
"221";4
"222";4
"223";4
"224";4
"225";4
"226";4
"227";4
"228";2
"229";4
"230";4
"231";4
"232";4
"233";4
"234";3
"235";3
"236";2
"237";4
"238";4
"239";4
"240";4
"241";4
"242";4
"243";3
"244";3
"245";4
"246";4
"247";4
"248";4
"249";4
"250";4
"251";3
"252";4
"253";1
"254";4
"255";4
"256";1
"257";1
"258";1
"259";4
"260";4
"261";4
"262";4
"263";4
"264";4
"265";4
"266";3
"267";4
"268";2
"269";3
"270";4
"271";4
"272";4
"273";1
"274";1
"275";1
"276";1
"277";1
"278";1
"279";1
"280";1
"281";1
"282";1
"283";1
"284";1
"285";1
"286";1
"287";1
"288";1
"289";1
"290";1
"291";1
"292";3
"293";3
"294";1
"295";1
"296";1
"297";1
"298";4
"299";1
"300";1
"301";3
"302";2
"303";3
"304";1
"305";1
"306";1
"307";1
"308";1
"309";3
"310";3
"311";3
"312";3
"313";3
"314";3
"315";3
"316";3
"317";2
"318";1
"319";1
"320";1
"321";3
"322";1
"323";1
"324";1
"325";1
"326";1
"327";1
"328";1
"329";1
"330";1
"331";1
"332";1
"333";1
"334";1
"335";1
"336";1
"337";4
"338";4
"339";1
"340";1
"341";1
"342";1
"343";1
"344";1
"345";1
"346";1
"347";4
"348";1
"349";2
"350";2
"351";3
"352";2
"353";2
"354";2
"355";4
"356";4
"357";2
"358";4
"359";2
"360";2
"361";2
"362";2
"363";2
"364";4
"365";4
"366";2
"367";2
"368";2
"369";2
"370";3
