"";"x"
"1";3
"2";1
"3";8
"4";9
"5";3
"6";3
"7";9
"8";9
"9";3
"10";9
"11";9
"12";8
"13";7
"14";2
"15";8
"16";1
"17";3
"18";8
"19";9
"20";8
"21";8
"22";4
"23";7
"24";4
"25";8
"26";9
"27";5
"28";7
"29";5
"30";7
"31";3
"32";8
"33";9
"34";3
"35";3
"36";3
"37";9
"38";8
"39";3
"40";3
"41";3
"42";9
"43";1
"44";3
"45";3
"46";9
"47";3
"48";8
"49";9
"50";8
"51";6
"52";9
"53";9
"54";9
"55";9
"56";3
"57";3
"58";8
"59";9
"60";6
"61";9
"62";4
"63";1
"64";8
"65";3
"66";8
"67";8
"68";1
"69";1
"70";1
"71";1
"72";7
"73";7
"74";1
"75";8
"76";7
"77";3
"78";1
"79";1
"80";1
"81";1
"82";1
"83";1
"84";1
"85";1
"86";8
"87";6
"88";6
"89";5
"90";8
"91";7
"92";6
"93";7
"94";6
"95";6
"96";6
"97";6
"98";6
"99";6
"100";6
"101";6
"102";6
"103";6
"104";5
"105";9
"106";5
"107";5
"108";8
"109";6
"110";6
"111";6
"112";6
"113";5
"114";1
"115";8
"116";8
"117";8
"118";5
"119";1
"120";7
"121";1
"122";1
"123";6
"124";6
"125";8
"126";7
"127";6
"128";1
"129";4
"130";5
"131";6
"132";6
"133";6
"134";6
"135";7
"136";6
"137";6
"138";6
"139";7
"140";7
"141";7
"142";3
"143";6
"144";7
"145";7
"146";6
"147";7
"148";7
"149";6
"150";6
"151";4
"152";4
"153";4
"154";6
"155";5
"156";5
"157";1
"158";7
"159";3
"160";1
"161";1
"162";1
"163";1
"164";1
"165";1
"166";1
"167";1
"168";1
"169";1
"170";3
"171";1
"172";1
"173";1
"174";1
"175";1
"176";9
"177";1
"178";1
"179";1
"180";5
"181";1
"182";1
"183";1
"184";1
"185";1
"186";1
"187";1
"188";1
"189";1
"190";1
"191";1
"192";1
"193";2
"194";2
"195";2
"196";3
"197";2
"198";1
"199";5
"200";1
"201";2
"202";1
"203";2
"204";1
"205";2
"206";2
"207";2
"208";2
"209";3
"210";3
"211";1
"212";1
"213";1
"214";1
"215";3
"216";3
"217";3
"218";9
"219";2
"220";1
"221";1
"222";1
"223";7
"224";7
"225";7
"226";7
"227";7
"228";4
"229";7
"230";7
"231";7
"232";7
"233";4
"234";7
"235";7
"236";4
"237";4
"238";4
"239";4
"240";7
"241";4
"242";7
"243";7
"244";8
"245";8
"246";5
"247";5
"248";5
"249";5
"250";5
"251";5
"252";5
"253";5
"254";5
"255";5
"256";8
"257";5
"258";5
"259";5
"260";5
"261";5
"262";5
"263";6
"264";6
"265";5
"266";5
"267";5
"268";4
"269";7
"270";3
"271";9
"272";6
"273";7
"274";7
"275";7
"276";7
"277";7
"278";9
"279";5
"280";7
"281";7
"282";7
"283";4
"284";5
"285";4
"286";4
"287";6
"288";5
"289";6
"290";7
"291";6
"292";6
"293";6
"294";4
"295";4
"296";6
"297";4
"298";7
"299";7
"300";6
"301";5
"302";5
"303";3
"304";7
"305";4
"306";4
"307";5
"308";4
"309";4
"310";4
"311";4
"312";4
"313";9
"314";5
"315";9
"316";3
"317";8
"318";9
"319";3
"320";9
"321";9
"322";8
"323";3
"324";6
"325";9
"326";9
"327";9
"328";9
"329";9
"330";8
"331";5
"332";9
"333";8
"334";2
"335";9
"336";3
