"";"x"
"1";8
"2";8
"3";2
"4";7
"5";1
"6";1
"7";5
"8";2
"9";2
"10";4
"11";2
"12";2
"13";5
"14";2
"15";2
"16";2
"17";4
"18";2
"19";1
"20";4
"21";4
"22";5
"23";3
"24";5
"25";1
"26";5
"27";1
"28";5
"29";1
"30";4
"31";5
"32";5
"33";5
"34";2
"35";5
"36";4
"37";5
"38";1
"39";2
"40";6
"41";4
"42";3
"43";6
"44";2
"45";2
"46";1
"47";3
"48";2
"49";7
"50";2
"51";4
"52";2
"53";4
"54";4
"55";4
"56";4
"57";2
"58";8
"59";5
"60";4
"61";5
"62";2
"63";4
"64";4
"65";6
"66";4
"67";4
"68";2
"69";2
"70";8
"71";4
"72";4
"73";5
"74";2
"75";3
"76";2
"77";5
"78";4
"79";1
"80";2
"81";5
"82";5
"83";5
"84";1
"85";3
"86";2
"87";1
"88";2
"89";2
"90";1
"91";2
"92";2
"93";5
"94";4
"95";4
"96";1
"97";2
"98";2
"99";5
"100";2
"101";2
"102";3
"103";6
"104";4
"105";2
"106";2
"107";6
"108";4
"109";8
"110";2
"111";4
"112";5
"113";4
"114";4
"115";4
"116";4
"117";4
"118";5
"119";5
"120";1
"121";4
"122";8
"123";1
"124";8
"125";1
"126";3
"127";3
"128";8
"129";7
"130";6
"131";8
"132";8
"133";8
"134";8
"135";8
"136";1
"137";8
"138";8
"139";8
"140";1
"141";3
"142";3
"143";1
"144";1
"145";6
"146";3
"147";3
"148";3
"149";3
"150";3
"151";3
"152";3
"153";3
"154";3
"155";3
"156";3
"157";7
"158";7
"159";2
"160";5
"161";1
"162";7
"163";7
"164";7
"165";3
"166";7
"167";7
"168";1
"169";1
"170";1
"171";2
"172";4
"173";1
"174";8
"175";6
"176";6
"177";6
"178";6
"179";8
"180";8
"181";7
"182";3
"183";7
"184";3
"185";3
"186";8
"187";6
"188";1
"189";7
"190";7
"191";3
"192";3
"193";1
"194";3
"195";3
"196";3
"197";3
"198";3
"199";3
"200";3
"201";4
"202";3
"203";6
"204";3
"205";7
"206";6
"207";6
"208";3
"209";3
"210";6
"211";6
"212";6
"213";7
"214";7
"215";1
"216";6
"217";1
"218";4
"219";8
"220";8
"221";8
"222";8
"223";8
"224";8
"225";8
"226";8
"227";8
"228";8
"229";8
"230";8
"231";8
"232";8
"233";8
"234";1
"235";1
"236";8
"237";8
"238";1
"239";8
"240";1
"241";8
"242";2
"243";8
"244";8
"245";8
"246";8
"247";8
"248";5
"249";5
"250";2
"251";1
"252";8
"253";1
"254";8
"255";8
"256";8
"257";3
"258";5
"259";3
"260";8
"261";8
"262";8
"263";1
"264";8
"265";8
"266";8
"267";3
"268";8
"269";8
"270";3
"271";3
"272";3
"273";8
"274";8
"275";8
"276";8
"277";8
"278";8
"279";8
"280";8
"281";3
"282";2
"283";8
"284";8
"285";8
"286";8
"287";6
"288";6
"289";6
"290";6
"291";6
"292";6
"293";6
"294";6
"295";6
"296";6
"297";6
"298";6
"299";6
"300";6
"301";6
"302";6
"303";6
"304";6
"305";6
"306";6
"307";4
"308";6
"309";6
"310";3
"311";3
"312";7
"313";7
"314";7
"315";7
"316";7
"317";1
"318";7
"319";1
"320";1
"321";7
"322";4
"323";7
"324";7
"325";7
"326";7
"327";7
"328";7
"329";7
"330";7
"331";1
"332";1
"333";7
"334";7
"335";3
"336";5
"337";2
"338";5
"339";7
"340";3
"341";3
"342";3
"343";3
"344";6
"345";5
"346";5
"347";5
"348";5
"349";5
"350";5
"351";5
"352";5
"353";2
"354";7
"355";3
"356";3
"357";3
"358";4
"359";6
"360";7
"361";6
"362";6
"363";3
"364";1
"365";3
"366";6
"367";3
"368";7
"369";3
"370";6
"371";6
"372";7
"373";7
"374";6
"375";6
"376";6
"377";3
"378";1
"379";1
"380";8
"381";3
"382";6
"383";6
"384";7
"385";7
"386";6
"387";6
"388";6
"389";6
"390";1
"391";7
"392";2
"393";2
"394";4
"395";2
"396";2
"397";2
"398";2
"399";2
"400";2
"401";3
"402";2
"403";2
"404";2
"405";2
"406";2
"407";7
"408";1
"409";2
"410";2
"411";3
"412";2
"413";5
