"";"x"
"1";1
"2";2
"3";7
"4";9
"5";1
"6";7
"7";7
"8";11
"9";11
"10";1
"11";9
"12";7
"13";7
"14";4
"15";6
"16";11
"17";7
"18";4
"19";7
"20";11
"21";4
"22";7
"23";1
"24";4
"25";7
"26";9
"27";9
"28";1
"29";7
"30";1
"31";1
"32";9
"33";9
"34";1
"35";7
"36";9
"37";7
"38";8
"39";9
"40";7
"41";11
"42";7
"43";9
"44";9
"45";11
"46";7
"47";7
"48";8
"49";11
"50";7
"51";2
"52";9
"53";3
"54";5
"55";2
"56";5
"57";4
"58";4
"59";5
"60";2
"61";2
"62";3
"63";2
"64";2
"65";5
"66";2
"67";5
"68";5
"69";8
"70";8
"71";4
"72";8
"73";4
"74";8
"75";4
"76";8
"77";8
"78";8
"79";8
"80";8
"81";8
"82";8
"83";8
"84";9
"85";5
"86";8
"87";8
"88";8
"89";8
"90";8
"91";8
"92";5
"93";3
"94";3
"95";2
"96";5
"97";5
"98";8
"99";8
"100";4
"101";8
"102";5
"103";9
"104";8
"105";8
"106";8
"107";8
"108";4
"109";8
"110";8
"111";8
"112";4
"113";4
"114";4
"115";1
"116";8
"117";4
"118";8
"119";8
"120";8
"121";5
"122";5
"123";2
"124";2
"125";2
"126";2
"127";2
"128";2
"129";2
"130";2
"131";5
"132";2
"133";5
"134";3
"135";2
"136";2
"137";2
"138";5
"139";5
"140";9
"141";5
"142";5
"143";2
"144";2
"145";9
"146";2
"147";2
"148";2
"149";2
"150";2
"151";7
"152";2
"153";5
"154";2
"155";5
"156";2
"157";6
"158";6
"159";6
"160";3
"161";6
"162";5
"163";5
"164";9
"165";6
"166";3
"167";6
"168";2
"169";6
"170";6
"171";6
"172";6
"173";3
"174";3
"175";2
"176";2
"177";3
"178";3
"179";3
"180";1
"181";3
"182";9
"183";6
"184";3
"185";3
"186";3
"187";3
"188";3
"189";8
"190";8
"191";4
"192";3
"193";8
"194";4
"195";4
"196";4
"197";9
"198";4
"199";8
"200";8
"201";8
"202";8
"203";8
"204";8
"205";8
"206";2
"207";4
"208";11
"209";10
"210";11
"211";1
"212";10
"213";9
"214";1
"215";11
"216";9
"217";3
"218";1
"219";8
"220";11
"221";9
"222";9
"223";11
"224";11
"225";10
"226";11
"227";11
"228";10
"229";1
"230";7
"231";1
