"";"x"
"1";4
"2";1
"3";2
"4";5
"5";1
"6";5
"7";4
"8";2
"9";2
"10";4
"11";2
"12";2
"13";4
"14";2
"15";5
"16";2
"17";4
"18";2
"19";5
"20";5
"21";5
"22";5
"23";3
"24";4
"25";5
"26";4
"27";1
"28";4
"29";1
"30";5
"31";2
"32";4
"33";4
"34";2
"35";4
"36";5
"37";4
"38";5
"39";2
"40";3
"41";4
"42";4
"43";3
"44";5
"45";2
"46";3
"47";2
"48";2
"49";4
"50";2
"51";4
"52";4
"53";4
"54";5
"55";2
"56";1
"57";4
"58";4
"59";4
"60";2
"61";5
"62";5
"63";3
"64";4
"65";4
"66";4
"67";2
"68";1
"69";4
"70";5
"71";4
"72";2
"73";3
"74";2
"75";4
"76";5
"77";5
"78";2
"79";3
"80";5
"81";4
"82";5
"83";3
"84";2
"85";5
"86";5
"87";2
"88";5
"89";2
"90";2
"91";5
"92";4
"93";4
"94";5
"95";2
"96";2
"97";4
"98";2
"99";5
"100";3
"101";3
"102";5
"103";2
"104";2
"105";3
"106";4
"107";1
"108";5
"109";4
"110";5
"111";5
"112";4
"113";5
"114";5
"115";5
"116";5
"117";5
"118";5
"119";5
"120";1
"121";1
"122";1
"123";1
"124";1
"125";3
"126";1
"127";5
"128";4
"129";1
"130";1
"131";1
"132";1
"133";1
"134";1
"135";1
"136";1
"137";1
"138";5
"139";3
"140";3
"141";1
"142";1
"143";4
"144";3
"145";3
"146";3
"147";3
"148";3
"149";3
"150";3
"151";3
"152";3
"153";3
"154";3
"155";2
"156";4
"157";1
"158";5
"159";3
"160";3
"161";1
"162";1
"163";5
"164";2
"165";2
"166";1
"167";1
"168";4
"169";4
"170";4
"171";4
"172";1
"173";1
"174";3
"175";3
"176";5
"177";3
"178";3
"179";1
"180";3
"181";1
"182";3
"183";3
"184";3
"185";5
"186";3
"187";3
"188";3
"189";3
"190";3
"191";3
"192";3
"193";4
"194";3
"195";3
"196";3
"197";3
"198";3
"199";3
"200";3
"201";3
"202";3
"203";3
"204";1
"205";4
"206";1
"207";3
"208";1
"209";1
"210";1
"211";1
"212";1
"213";1
"214";1
"215";1
"216";1
"217";1
"218";1
"219";1
"220";1
"221";1
"222";1
"223";1
"224";1
"225";2
"226";1
"227";1
"228";1
"229";1
"230";1
"231";2
"232";1
"233";1
"234";1
"235";1
"236";1
"237";5
"238";5
"239";2
"240";1
"241";1
"242";1
"243";1
"244";1
"245";1
"246";4
"247";4
"248";4
"249";1
"250";1
"251";1
"252";1
"253";1
"254";4
"255";1
"256";4
"257";1
"258";1
"259";4
"260";4
"261";3
"262";1
"263";1
"264";1
"265";1
"266";1
"267";1
"268";1
"269";4
"270";1
"271";2
"272";4
"273";1
"274";1
"275";1
"276";3
"277";3
"278";3
"279";3
"280";3
"281";3
"282";3
"283";3
"284";3
"285";3
"286";3
"287";3
"288";3
"289";3
"290";3
"291";3
"292";3
"293";3
"294";3
"295";4
"296";4
"297";3
"298";3
"299";3
"300";3
"301";5
"302";3
"303";3
"304";4
"305";2
"306";4
"307";3
"308";3
"309";3
"310";3
"311";3
"312";5
"313";5
"314";5
"315";5
"316";5
"317";5
"318";5
"319";5
"320";2
"321";3
"322";3
"323";3
"324";4
"325";3
"326";3
"327";3
"328";3
"329";3
"330";3
"331";3
"332";3
"333";3
"334";3
"335";3
"336";3
"337";3
"338";3
"339";3
"340";1
"341";3
"342";3
"343";3
"344";3
"345";3
"346";3
"347";3
"348";3
"349";2
"350";3
"351";2
"352";2
"353";5
"354";2
"355";2
"356";2
"357";2
"358";5
"359";2
"360";3
"361";2
"362";2
"363";2
"364";2
"365";2
"366";5
"367";1
"368";2
"369";2
"370";2
"371";2
"372";4
