"";"x"
"1";1
"2";2
"3";1
"4";4
"5";2
"6";1
"7";1
"8";1
"9";1
"10";1
"11";2
"12";2
"13";1
"14";2
"15";1
"16";1
"17";4
"18";1
"19";1
"20";1
"21";1
"22";3
"23";1
"24";4
"25";4
"26";1
"27";1
"28";2
"29";1
"30";2
"31";1
"32";1
"33";4
"34";1
"35";2
"36";1
"37";1
"38";1
"39";2
"40";1
"41";4
"42";4
"43";4
"44";4
"45";1
"46";2
"47";2
"48";4
"49";1
"50";3
"51";1
"52";4
"53";1
"54";4
"55";1
"56";4
"57";1
"58";1
"59";2
"60";1
"61";4
"62";1
"63";1
"64";1
"65";1
"66";4
"67";1
"68";1
"69";1
"70";1
"71";2
"72";1
"73";4
"74";1
"75";1
"76";1
"77";1
"78";1
"79";1
"80";1
"81";1
"82";4
"83";1
"84";1
"85";1
"86";2
"87";2
"88";1
"89";1
"90";2
"91";1
"92";1
"93";1
"94";1
"95";4
"96";1
"97";1
"98";1
"99";2
"100";1
"101";1
"102";1
"103";4
"104";4
"105";1
"106";2
"107";1
"108";4
"109";4
"110";2
"111";3
"112";1
"113";4
"114";1
"115";1
"116";1
"117";1
"118";1
"119";1
"120";1
"121";1
"122";1
"123";4
"124";2
"125";2
"126";2
"127";2
"128";2
"129";4
"130";2
"131";3
"132";4
"133";2
"134";2
"135";2
"136";2
"137";2
"138";2
"139";2
"140";2
"141";2
"142";2
"143";2
"144";4
"145";2
"146";2
"147";4
"148";4
"149";4
"150";2
"151";3
"152";4
"153";4
"154";4
"155";4
"156";4
"157";4
"158";4
"159";4
"160";3
"161";3
"162";2
"163";1
"164";3
"165";3
"166";3
"167";3
"168";4
"169";4
"170";3
"171";2
"172";2
"173";2
"174";2
"175";2
"176";2
"177";2
"178";4
"179";4
"180";4
"181";4
"182";3
"183";2
"184";2
"185";4
"186";4
"187";3
"188";4
"189";4
"190";2
"191";4
"192";2
"193";4
"194";3
"195";4
"196";4
"197";1
"198";4
"199";4
"200";2
"201";3
"202";4
"203";4
"204";4
"205";4
"206";4
"207";4
"208";4
"209";4
"210";3
"211";3
"212";4
"213";4
"214";4
"215";4
"216";4
"217";4
"218";4
"219";3
"220";3
"221";2
"222";4
"223";2
"224";4
"225";2
"226";2
"227";2
"228";2
"229";2
"230";2
"231";2
"232";2
"233";2
"234";2
"235";2
"236";2
"237";2
"238";2
"239";2
"240";2
"241";2
"242";2
"243";2
"244";2
"245";2
"246";2
"247";2
"248";2
"249";2
"250";2
"251";2
"252";2
"253";2
"254";1
"255";1
"256";1
"257";2
"258";2
"259";2
"260";2
"261";2
"262";2
"263";4
"264";1
"265";4
"266";2
"267";2
"268";2
"269";2
"270";2
"271";2
"272";2
"273";4
"274";2
"275";2
"276";4
"277";4
"278";4
"279";2
"280";2
"281";2
"282";2
"283";2
"284";2
"285";2
"286";1
"287";2
"288";2
"289";4
"290";2
"291";2
"292";2
"293";4
"294";4
"295";4
"296";4
"297";4
"298";4
"299";4
"300";4
"301";4
"302";4
"303";4
"304";4
"305";4
"306";4
"307";4
"308";4
"309";4
"310";4
"311";4
"312";4
"313";4
"314";4
"315";4
"316";4
"317";4
"318";3
"319";3
"320";3
"321";3
"322";3
"323";3
"324";3
"325";3
"326";3
"327";3
"328";3
"329";3
"330";3
"331";3
"332";3
"333";3
"334";3
"335";3
"336";3
"337";3
"338";3
"339";3
"340";3
"341";3
"342";3
"343";3
"344";3
"345";3
"346";3
"347";3
"348";3
"349";3
"350";3
"351";3
"352";3
"353";3
"354";4
"355";3
"356";3
"357";3
"358";3
"359";3
"360";3
"361";3
"362";3
"363";3
"364";3
"365";3
"366";3
"367";4
"368";4
"369";1
"370";2
"371";1
"372";3
"373";4
"374";4
"375";4
"376";3
"377";3
"378";3
"379";4
"380";4
"381";3
"382";1
"383";1
"384";1
"385";1
"386";1
"387";1
"388";1
"389";1
"390";3
"391";2
"392";3
"393";4
"394";4
"395";4
"396";4
"397";4
"398";3
"399";4
"400";3
"401";4
"402";3
"403";4
"404";3
"405";3
"406";4
"407";4
"408";4
"409";3
"410";4
"411";4
"412";4
"413";4
"414";3
"415";3
"416";3
"417";3
"418";3
"419";3
"420";3
"421";3
"422";4
"423";4
"424";4
"425";3
"426";3
"427";4
"428";3
"429";2
"430";1
"431";4
"432";4
"433";4
"434";3
"435";3
"436";3
"437";3
"438";4
"439";4
"440";4
"441";4
"442";4
"443";2
"444";3
"445";2
"446";1
"447";4
"448";2
"449";1
"450";2
"451";2
"452";1
"453";1
"454";2
"455";2
"456";2
"457";2
"458";2
"459";2
"460";1
"461";2
"462";2
"463";1
"464";2
"465";1
"466";1
