"";"x"
"1";2
"2";2
"3";2
"4";3
"5";2
"6";2
"7";2
"8";2
"9";2
"10";2
"11";2
"12";2
"13";2
"14";2
"15";2
"16";2
"17";3
"18";2
"19";2
"20";2
"21";2
"22";1
"23";2
"24";3
"25";3
"26";2
"27";2
"28";2
"29";2
"30";2
"31";2
"32";2
"33";3
"34";2
"35";2
"36";2
"37";2
"38";2
"39";2
"40";2
"41";3
"42";3
"43";3
"44";3
"45";2
"46";2
"47";1
"48";3
"49";2
"50";1
"51";2
"52";3
"53";2
"54";3
"55";2
"56";3
"57";2
"58";2
"59";2
"60";2
"61";3
"62";2
"63";2
"64";2
"65";2
"66";3
"67";2
"68";2
"69";2
"70";2
"71";2
"72";2
"73";3
"74";2
"75";2
"76";2
"77";2
"78";3
"79";2
"80";2
"81";2
"82";3
"83";2
"84";2
"85";2
"86";3
"87";2
"88";2
"89";2
"90";2
"91";2
"92";2
"93";2
"94";2
"95";3
"96";2
"97";2
"98";2
"99";2
"100";2
"101";2
"102";2
"103";3
"104";3
"105";2
"106";2
"107";2
"108";3
"109";3
"110";2
"111";1
"112";2
"113";3
"114";2
"115";2
"116";2
"117";2
"118";2
"119";2
"120";2
"121";2
"122";2
"123";3
"124";2
"125";2
"126";2
"127";1
"128";2
"129";3
"130";2
"131";1
"132";3
"133";2
"134";2
"135";2
"136";2
"137";2
"138";1
"139";2
"140";2
"141";2
"142";2
"143";3
"144";3
"145";1
"146";2
"147";3
"148";3
"149";3
"150";3
"151";1
"152";3
"153";3
"154";3
"155";3
"156";3
"157";3
"158";3
"159";3
"160";1
"161";1
"162";2
"163";2
"164";1
"165";1
"166";1
"167";1
"168";3
"169";3
"170";1
"171";1
"172";2
"173";2
"174";2
"175";2
"176";2
"177";2
"178";3
"179";3
"180";3
"181";3
"182";1
"183";2
"184";2
"185";3
"186";3
"187";1
"188";3
"189";3
"190";2
"191";3
"192";1
"193";3
"194";1
"195";3
"196";3
"197";2
"198";3
"199";3
"200";1
"201";1
"202";3
"203";3
"204";3
"205";3
"206";2
"207";3
"208";3
"209";3
"210";1
"211";1
"212";3
"213";3
"214";3
"215";3
"216";3
"217";3
"218";3
"219";1
"220";1
"221";1
"222";3
"223";2
"224";3
"225";2
"226";2
"227";2
"228";2
"229";2
"230";2
"231";2
"232";2
"233";2
"234";2
"235";2
"236";2
"237";2
"238";2
"239";2
"240";2
"241";2
"242";2
"243";2
"244";2
"245";2
"246";1
"247";2
"248";2
"249";2
"250";2
"251";2
"252";2
"253";2
"254";2
"255";2
"256";2
"257";2
"258";2
"259";2
"260";2
"261";2
"262";2
"263";3
"264";2
"265";3
"266";2
"267";2
"268";2
"269";1
"270";2
"271";2
"272";2
"273";3
"274";2
"275";2
"276";3
"277";3
"278";3
"279";2
"280";2
"281";2
"282";2
"283";2
"284";2
"285";2
"286";2
"287";2
"288";2
"289";2
"290";2
"291";2
"292";2
"293";3
"294";3
"295";3
"296";3
"297";3
"298";3
"299";3
"300";3
"301";3
"302";3
"303";3
"304";3
"305";3
"306";3
"307";3
"308";3
"309";3
"310";3
"311";3
"312";3
"313";3
"314";3
"315";3
"316";3
"317";3
"318";1
"319";1
"320";1
"321";1
"322";1
"323";1
"324";1
"325";1
"326";1
"327";1
"328";1
"329";1
"330";1
"331";1
"332";1
"333";1
"334";1
"335";1
"336";1
"337";1
"338";1
"339";1
"340";1
"341";1
"342";1
"343";1
"344";1
"345";1
"346";1
"347";1
"348";1
"349";1
"350";1
"351";1
"352";1
"353";1
"354";2
"355";1
"356";1
"357";1
"358";1
"359";1
"360";1
"361";1
"362";1
"363";1
"364";1
"365";1
"366";1
"367";3
"368";3
"369";2
"370";2
"371";2
"372";1
"373";3
"374";3
"375";3
"376";1
"377";1
"378";1
"379";3
"380";3
"381";1
"382";2
"383";2
"384";2
"385";2
"386";2
"387";2
"388";2
"389";2
"390";1
"391";2
"392";1
"393";3
"394";3
"395";3
"396";3
"397";3
"398";1
"399";3
"400";1
"401";3
"402";1
"403";3
"404";1
"405";1
"406";3
"407";3
"408";3
"409";1
"410";3
"411";3
"412";3
"413";3
"414";1
"415";1
"416";1
"417";1
"418";1
"419";1
"420";1
"421";1
"422";3
"423";3
"424";3
"425";1
"426";1
"427";3
"428";1
"429";1
"430";2
"431";3
"432";3
"433";3
"434";1
"435";1
"436";1
"437";1
"438";3
"439";3
"440";3
"441";3
"442";3
"443";1
"444";1
"445";2
"446";2
"447";3
"448";2
"449";2
"450";2
"451";2
"452";2
"453";2
"454";3
"455";2
"456";2
"457";2
"458";2
"459";2
"460";2
"461";1
"462";2
"463";2
"464";2
"465";2
"466";2
