"";"x"
"1";7
"2";4
"3";3
"4";5
"5";3
"6";1
"7";1
"8";3
"9";3
"10";7
"11";3
"12";3
"13";7
"14";3
"15";3
"16";3
"17";7
"18";3
"19";3
"20";7
"21";7
"22";6
"23";1
"24";2
"25";2
"26";1
"27";1
"28";3
"29";1
"30";1
"31";7
"32";1
"33";7
"34";1
"35";3
"36";1
"37";1
"38";1
"39";4
"40";3
"41";2
"42";7
"43";2
"44";2
"45";3
"46";3
"47";5
"48";2
"49";3
"50";5
"51";3
"52";7
"53";3
"54";7
"55";7
"56";7
"57";7
"58";3
"59";4
"60";1
"61";7
"62";7
"63";3
"64";7
"65";1
"66";2
"67";7
"68";7
"69";3
"70";3
"71";4
"72";7
"73";7
"74";1
"75";3
"76";1
"77";3
"78";1
"79";7
"80";1
"81";3
"82";1
"83";1
"84";1
"85";5
"86";5
"87";3
"88";1
"89";3
"90";3
"91";1
"92";3
"93";3
"94";1
"95";7
"96";7
"97";3
"98";3
"99";3
"100";1
"101";3
"102";3
"103";2
"104";7
"105";7
"106";3
"107";3
"108";2
"109";7
"110";4
"111";6
"112";3
"113";7
"114";1
"115";7
"116";7
"117";7
"118";7
"119";7
"120";1
"121";1
"122";1
"123";7
"124";4
"125";4
"126";4
"127";4
"128";4
"129";2
"130";4
"131";5
"132";2
"133";4
"134";4
"135";4
"136";4
"137";4
"138";4
"139";4
"140";4
"141";4
"142";5
"143";5
"144";5
"145";5
"146";5
"147";2
"148";5
"149";2
"150";5
"151";6
"152";2
"153";5
"154";2
"155";5
"156";2
"157";5
"158";5
"159";2
"160";5
"161";5
"162";3
"163";1
"164";5
"165";5
"166";5
"167";5
"168";5
"169";5
"170";5
"171";5
"172";4
"173";5
"174";3
"175";7
"176";5
"177";4
"178";2
"179";2
"180";2
"181";2
"182";6
"183";4
"184";4
"185";5
"186";2
"187";5
"188";2
"189";5
"190";4
"191";2
"192";5
"193";5
"194";5
"195";2
"196";5
"197";1
"198";2
"199";5
"200";5
"201";6
"202";5
"203";2
"204";2
"205";2
"206";7
"207";5
"208";2
"209";2
"210";6
"211";5
"212";2
"213";2
"214";2
"215";5
"216";2
"217";2
"218";2
"219";5
"220";5
"221";5
"222";2
"223";4
"224";7
"225";4
"226";4
"227";4
"228";4
"229";4
"230";4
"231";4
"232";4
"233";4
"234";4
"235";4
"236";4
"237";4
"238";4
"239";4
"240";5
"241";4
"242";4
"243";4
"244";4
"245";4
"246";5
"247";4
"248";3
"249";4
"250";4
"251";4
"252";4
"253";4
"254";1
"255";1
"256";3
"257";4
"258";4
"259";4
"260";4
"261";4
"262";4
"263";2
"264";1
"265";2
"266";4
"267";4
"268";4
"269";5
"270";4
"271";4
"272";4
"273";2
"274";4
"275";4
"276";2
"277";2
"278";2
"279";4
"280";4
"281";4
"282";4
"283";4
"284";4
"285";4
"286";7
"287";4
"288";3
"289";2
"290";4
"291";4
"292";4
"293";2
"294";2
"295";2
"296";2
"297";2
"298";2
"299";2
"300";2
"301";2
"302";2
"303";2
"304";2
"305";2
"306";2
"307";2
"308";2
"309";2
"310";2
"311";2
"312";7
"313";7
"314";2
"315";2
"316";2
"317";2
"318";6
"319";6
"320";6
"321";6
"322";6
"323";6
"324";6
"325";6
"326";6
"327";6
"328";6
"329";6
"330";6
"331";6
"332";6
"333";6
"334";6
"335";6
"336";6
"337";6
"338";6
"339";6
"340";6
"341";6
"342";6
"343";6
"344";5
"345";5
"346";5
"347";5
"348";5
"349";5
"350";5
"351";5
"352";5
"353";5
"354";7
"355";6
"356";5
"357";5
"358";5
"359";5
"360";5
"361";5
"362";5
"363";5
"364";5
"365";5
"366";5
"367";2
"368";2
"369";1
"370";3
"371";1
"372";5
"373";2
"374";2
"375";2
"376";6
"377";6
"378";6
"379";2
"380";2
"381";6
"382";1
"383";1
"384";1
"385";1
"386";1
"387";1
"388";1
"389";1
"390";6
"391";3
"392";5
"393";2
"394";2
"395";2
"396";7
"397";2
"398";5
"399";2
"400";6
"401";2
"402";6
"403";2
"404";5
"405";6
"406";2
"407";2
"408";2
"409";5
"410";2
"411";2
"412";2
"413";5
"414";6
"415";6
"416";6
"417";6
"418";6
"419";6
"420";5
"421";6
"422";2
"423";2
"424";2
"425";6
"426";6
"427";2
"428";5
"429";5
"430";4
"431";2
"432";2
"433";2
"434";6
"435";6
"436";6
"437";5
"438";5
"439";2
"440";2
"441";2
"442";2
"443";3
"444";5
"445";3
"446";3
"447";7
"448";3
"449";3
"450";3
"451";3
"452";1
"453";3
"454";5
"455";3
"456";3
"457";3
"458";3
"459";3
"460";5
"461";5
"462";3
"463";3
"464";3
"465";3
"466";1
