"";"x"
"1";10
"2";7
"3";9
"4";5
"5";8
"6";3
"7";10
"8";9
"9";9
"10";10
"11";9
"12";9
"13";10
"14";9
"15";5
"16";9
"17";4
"18";9
"19";8
"20";5
"21";4
"22";8
"23";3
"24";10
"25";10
"26";5
"27";3
"28";8
"29";10
"30";3
"31";5
"32";3
"33";4
"34";3
"35";8
"36";3
"37";5
"38";3
"39";5
"40";9
"41";4
"42";4
"43";10
"44";6
"45";9
"46";8
"47";8
"48";6
"49";9
"50";2
"51";9
"52";10
"53";9
"54";4
"55";10
"56";5
"57";5
"58";9
"59";10
"60";3
"61";4
"62";10
"63";9
"64";5
"65";5
"66";4
"67";10
"68";10
"69";10
"70";9
"71";10
"72";10
"73";5
"74";3
"75";9
"76";3
"77";9
"78";4
"79";5
"80";8
"81";9
"82";3
"83";3
"84";3
"85";5
"86";8
"87";9
"88";3
"89";9
"90";9
"91";3
"92";9
"93";9
"94";3
"95";4
"96";10
"97";5
"98";9
"99";8
"100";3
"101";9
"102";9
"103";6
"104";4
"105";5
"106";9
"107";9
"108";6
"109";4
"110";7
"111";8
"112";9
"113";4
"114";3
"115";5
"116";10
"117";5
"118";5
"119";5
"120";3
"121";3
"122";3
"123";5
"124";7
"125";7
"126";7
"127";7
"128";10
"129";10
"130";7
"131";5
"132";4
"133";10
"134";7
"135";7
"136";7
"137";7
"138";7
"139";7
"140";7
"141";7
"142";8
"143";6
"144";6
"145";8
"146";8
"147";10
"148";6
"149";6
"150";6
"151";2
"152";6
"153";6
"154";6
"155";6
"156";6
"157";6
"158";6
"159";6
"160";6
"161";2
"162";9
"163";3
"164";8
"165";8
"166";3
"167";2
"168";6
"169";6
"170";2
"171";8
"172";7
"173";8
"174";10
"175";10
"176";8
"177";7
"178";4
"179";4
"180";4
"181";4
"182";2
"183";7
"184";7
"185";6
"186";6
"187";5
"188";6
"189";6
"190";7
"191";6
"192";8
"193";6
"194";2
"195";6
"196";6
"197";3
"198";6
"199";6
"200";8
"201";2
"202";6
"203";6
"204";6
"205";6
"206";10
"207";6
"208";6
"209";6
"210";8
"211";2
"212";6
"213";6
"214";6
"215";6
"216";6
"217";6
"218";6
"219";2
"220";2
"221";7
"222";4
"223";7
"224";5
"225";10
"226";7
"227";7
"228";7
"229";7
"230";7
"231";7
"232";7
"233";7
"234";7
"235";7
"236";7
"237";7
"238";7
"239";7
"240";7
"241";7
"242";7
"243";7
"244";7
"245";7
"246";8
"247";7
"248";9
"249";7
"250";7
"251";7
"252";7
"253";7
"254";3
"255";3
"256";9
"257";7
"258";7
"259";7
"260";7
"261";7
"262";7
"263";10
"264";10
"265";10
"266";10
"267";7
"268";7
"269";8
"270";7
"271";10
"272";7
"273";10
"274";7
"275";7
"276";10
"277";10
"278";10
"279";10
"280";10
"281";7
"282";7
"283";7
"284";7
"285";10
"286";10
"287";10
"288";9
"289";10
"290";7
"291";7
"292";7
"293";6
"294";6
"295";6
"296";6
"297";6
"298";6
"299";6
"300";6
"301";6
"302";6
"303";6
"304";6
"305";6
"306";6
"307";6
"308";6
"309";6
"310";6
"311";6
"312";4
"313";4
"314";6
"315";6
"316";10
"317";10
"318";2
"319";2
"320";2
"321";2
"322";2
"323";2
"324";2
"325";2
"326";2
"327";2
"328";2
"329";2
"330";2
"331";2
"332";2
"333";2
"334";2
"335";2
"336";2
"337";2
"338";2
"339";2
"340";2
"341";2
"342";1
"343";2
"344";2
"345";2
"346";2
"347";2
"348";5
"349";8
"350";2
"351";8
"352";8
"353";8
"354";5
"355";2
"356";2
"357";2
"358";2
"359";2
"360";8
"361";2
"362";2
"363";2
"364";8
"365";8
"366";2
"367";6
"368";6
"369";10
"370";9
"371";3
"372";2
"373";6
"374";6
"375";6
"376";2
"377";2
"378";2
"379";6
"380";6
"381";2
"382";3
"383";3
"384";3
"385";3
"386";3
"387";3
"388";3
"389";3
"390";2
"391";9
"392";2
"393";6
"394";6
"395";6
"396";4
"397";6
"398";2
"399";6
"400";2
"401";6
"402";1
"403";6
"404";8
"405";2
"406";6
"407";6
"408";6
"409";2
"410";6
"411";6
"412";6
"413";5
"414";1
"415";2
"416";1
"417";1
"418";1
"419";1
"420";2
"421";2
"422";6
"423";6
"424";6
"425";1
"426";1
"427";6
"428";8
"429";8
"430";10
"431";6
"432";6
"433";6
"434";2
"435";2
"436";1
"437";2
"438";6
"439";6
"440";6
"441";6
"442";6
"443";8
"444";2
"445";9
"446";10
"447";5
"448";9
"449";9
"450";9
"451";8
"452";3
"453";9
"454";8
"455";9
"456";9
"457";9
"458";9
"459";9
"460";5
"461";8
"462";9
"463";9
"464";10
"465";9
"466";10
