"";"x"
"1";1
"2";3
"3";8
"4";7
"5";8
"6";4
"7";4
"8";8
"9";8
"10";7
"11";8
"12";8
"13";4
"14";8
"15";8
"16";8
"17";7
"18";8
"19";8
"20";7
"21";7
"22";5
"23";4
"24";1
"25";1
"26";4
"27";4
"28";8
"29";4
"30";4
"31";7
"32";4
"33";1
"34";4
"35";8
"36";4
"37";4
"38";4
"39";3
"40";8
"41";1
"42";7
"43";1
"44";1
"45";8
"46";8
"47";5
"48";1
"49";8
"50";5
"51";8
"52";1
"53";8
"54";7
"55";7
"56";7
"57";7
"58";8
"59";3
"60";4
"61";7
"62";4
"63";8
"64";7
"65";4
"66";7
"67";7
"68";7
"69";8
"70";8
"71";3
"72";7
"73";7
"74";4
"75";8
"76";4
"77";8
"78";4
"79";7
"80";4
"81";8
"82";4
"83";4
"84";4
"85";4
"86";6
"87";8
"88";4
"89";8
"90";8
"91";4
"92";8
"93";8
"94";4
"95";7
"96";7
"97";8
"98";8
"99";8
"100";4
"101";8
"102";8
"103";6
"104";1
"105";7
"106";8
"107";8
"108";1
"109";7
"110";3
"111";5
"112";8
"113";7
"114";4
"115";7
"116";7
"117";7
"118";7
"119";7
"120";4
"121";4
"122";4
"123";7
"124";3
"125";3
"126";3
"127";3
"128";3
"129";1
"130";3
"131";5
"132";1
"133";3
"134";3
"135";3
"136";3
"137";3
"138";3
"139";3
"140";3
"141";3
"142";4
"143";6
"144";6
"145";3
"146";3
"147";1
"148";6
"149";1
"150";6
"151";5
"152";6
"153";6
"154";6
"155";6
"156";6
"157";6
"158";6
"159";6
"160";6
"161";5
"162";8
"163";4
"164";6
"165";6
"166";4
"167";6
"168";6
"169";6
"170";6
"171";6
"172";3
"173";3
"174";8
"175";7
"176";6
"177";3
"178";1
"179";1
"180";1
"181";1
"182";5
"183";3
"184";3
"185";6
"186";6
"187";7
"188";6
"189";6
"190";3
"191";1
"192";6
"193";6
"194";6
"195";6
"196";6
"197";4
"198";6
"199";6
"200";6
"201";5
"202";6
"203";6
"204";1
"205";1
"206";7
"207";6
"208";1
"209";1
"210";5
"211";6
"212";1
"213";1
"214";6
"215";6
"216";6
"217";1
"218";1
"219";6
"220";5
"221";3
"222";1
"223";3
"224";7
"225";3
"226";3
"227";3
"228";3
"229";3
"230";3
"231";3
"232";3
"233";3
"234";3
"235";3
"236";3
"237";3
"238";3
"239";3
"240";3
"241";3
"242";3
"243";3
"244";3
"245";3
"246";5
"247";3
"248";8
"249";3
"250";3
"251";3
"252";3
"253";3
"254";4
"255";4
"256";8
"257";3
"258";3
"259";3
"260";3
"261";3
"262";3
"263";1
"264";4
"265";1
"266";3
"267";3
"268";3
"269";3
"270";3
"271";1
"272";3
"273";1
"274";3
"275";3
"276";1
"277";1
"278";1
"279";3
"280";3
"281";3
"282";3
"283";3
"284";3
"285";3
"286";4
"287";3
"288";8
"289";1
"290";3
"291";3
"292";3
"293";1
"294";1
"295";1
"296";1
"297";1
"298";1
"299";1
"300";1
"301";1
"302";1
"303";1
"304";1
"305";1
"306";1
"307";1
"308";1
"309";1
"310";1
"311";1
"312";1
"313";7
"314";1
"315";1
"316";1
"317";1
"318";5
"319";5
"320";5
"321";5
"322";5
"323";5
"324";5
"325";5
"326";5
"327";5
"328";5
"329";5
"330";5
"331";5
"332";5
"333";5
"334";5
"335";5
"336";5
"337";5
"338";5
"339";5
"340";5
"341";5
"342";2
"343";5
"344";5
"345";5
"346";5
"347";5
"348";5
"349";5
"350";5
"351";5
"352";5
"353";5
"354";7
"355";5
"356";5
"357";5
"358";5
"359";5
"360";5
"361";5
"362";6
"363";6
"364";5
"365";5
"366";5
"367";6
"368";6
"369";4
"370";8
"371";4
"372";6
"373";1
"374";1
"375";6
"376";5
"377";5
"378";5
"379";6
"380";1
"381";5
"382";4
"383";4
"384";4
"385";4
"386";4
"387";4
"388";4
"389";4
"390";5
"391";8
"392";5
"393";1
"394";1
"395";1
"396";7
"397";1
"398";5
"399";1
"400";5
"401";1
"402";2
"403";6
"404";5
"405";5
"406";6
"407";1
"408";6
"409";6
"410";6
"411";1
"412";1
"413";7
"414";2
"415";5
"416";2
"417";2
"418";2
"419";2
"420";6
"421";5
"422";1
"423";1
"424";1
"425";2
"426";2
"427";6
"428";5
"429";6
"430";3
"431";6
"432";1
"433";1
"434";5
"435";5
"436";2
"437";5
"438";6
"439";1
"440";1
"441";1
"442";1
"443";8
"444";5
"445";8
"446";8
"447";7
"448";8
"449";8
"450";8
"451";8
"452";4
"453";8
"454";6
"455";8
"456";8
"457";8
"458";8
"459";8
"460";7
"461";5
"462";8
"463";8
"464";8
"465";8
"466";4
