"";"x"
"1";4
"2";3
"3";5
"4";6
"5";5
"6";4
"7";4
"8";5
"9";5
"10";4
"11";5
"12";5
"13";4
"14";5
"15";5
"16";5
"17";1
"18";5
"19";5
"20";4
"21";4
"22";2
"23";4
"24";1
"25";4
"26";4
"27";4
"28";5
"29";4
"30";4
"31";4
"32";4
"33";4
"34";4
"35";5
"36";4
"37";4
"38";4
"39";3
"40";5
"41";1
"42";1
"43";1
"44";1
"45";5
"46";5
"47";6
"48";1
"49";5
"50";6
"51";5
"52";1
"53";5
"54";1
"55";5
"56";1
"57";3
"58";5
"59";3
"60";4
"61";1
"62";4
"63";5
"64";5
"65";4
"66";1
"67";4
"68";4
"69";5
"70";5
"71";3
"72";4
"73";1
"74";4
"75";5
"76";4
"77";5
"78";4
"79";4
"80";4
"81";5
"82";4
"83";4
"84";4
"85";4
"86";6
"87";5
"88";4
"89";5
"90";5
"91";4
"92";5
"93";5
"94";4
"95";1
"96";5
"97";5
"98";5
"99";5
"100";4
"101";5
"102";5
"103";6
"104";1
"105";5
"106";5
"107";5
"108";1
"109";1
"110";3
"111";2
"112";5
"113";1
"114";4
"115";1
"116";1
"117";5
"118";4
"119";5
"120";4
"121";4
"122";4
"123";1
"124";3
"125";3
"126";3
"127";3
"128";3
"129";1
"130";3
"131";6
"132";1
"133";3
"134";3
"135";3
"136";3
"137";3
"138";3
"139";3
"140";3
"141";3
"142";3
"143";6
"144";6
"145";6
"146";6
"147";1
"148";6
"149";1
"150";6
"151";2
"152";6
"153";6
"154";6
"155";6
"156";6
"157";6
"158";6
"159";6
"160";6
"161";6
"162";5
"163";4
"164";6
"165";6
"166";6
"167";6
"168";6
"169";6
"170";6
"171";6
"172";3
"173";3
"174";5
"175";5
"176";6
"177";3
"178";1
"179";1
"180";1
"181";1
"182";2
"183";3
"184";3
"185";6
"186";6
"187";6
"188";6
"189";6
"190";3
"191";1
"192";6
"193";6
"194";6
"195";6
"196";6
"197";4
"198";6
"199";6
"200";6
"201";2
"202";6
"203";6
"204";1
"205";1
"206";1
"207";6
"208";1
"209";1
"210";2
"211";6
"212";1
"213";1
"214";6
"215";6
"216";1
"217";1
"218";1
"219";6
"220";2
"221";6
"222";1
"223";3
"224";1
"225";3
"226";3
"227";3
"228";3
"229";3
"230";3
"231";3
"232";3
"233";3
"234";3
"235";3
"236";3
"237";3
"238";3
"239";3
"240";6
"241";3
"242";3
"243";3
"244";3
"245";3
"246";6
"247";3
"248";5
"249";3
"250";3
"251";3
"252";3
"253";3
"254";4
"255";4
"256";5
"257";3
"258";3
"259";3
"260";3
"261";3
"262";3
"263";1
"264";4
"265";4
"266";3
"267";3
"268";3
"269";6
"270";3
"271";3
"272";3
"273";1
"274";3
"275";3
"276";1
"277";1
"278";1
"279";3
"280";3
"281";3
"282";3
"283";3
"284";3
"285";3
"286";4
"287";3
"288";5
"289";3
"290";3
"291";3
"292";3
"293";1
"294";1
"295";1
"296";1
"297";1
"298";1
"299";1
"300";1
"301";1
"302";1
"303";1
"304";1
"305";1
"306";1
"307";1
"308";1
"309";1
"310";1
"311";1
"312";1
"313";1
"314";1
"315";1
"316";1
"317";1
"318";2
"319";2
"320";2
"321";2
"322";2
"323";2
"324";2
"325";2
"326";2
"327";2
"328";2
"329";2
"330";2
"331";2
"332";2
"333";2
"334";2
"335";2
"336";2
"337";2
"338";2
"339";2
"340";2
"341";2
"342";2
"343";2
"344";2
"345";2
"346";2
"347";2
"348";6
"349";6
"350";2
"351";2
"352";2
"353";6
"354";6
"355";2
"356";2
"357";2
"358";2
"359";6
"360";6
"361";2
"362";6
"363";6
"364";2
"365";2
"366";2
"367";6
"368";6
"369";4
"370";5
"371";4
"372";6
"373";1
"374";1
"375";6
"376";2
"377";2
"378";2
"379";6
"380";1
"381";2
"382";4
"383";4
"384";4
"385";4
"386";4
"387";4
"388";4
"389";4
"390";2
"391";5
"392";6
"393";1
"394";1
"395";1
"396";1
"397";1
"398";6
"399";1
"400";2
"401";1
"402";2
"403";6
"404";6
"405";2
"406";6
"407";1
"408";6
"409";6
"410";6
"411";1
"412";1
"413";1
"414";2
"415";2
"416";2
"417";2
"418";2
"419";2
"420";6
"421";2
"422";1
"423";1
"424";1
"425";2
"426";2
"427";6
"428";2
"429";6
"430";3
"431";6
"432";1
"433";1
"434";2
"435";2
"436";2
"437";2
"438";6
"439";1
"440";1
"441";1
"442";1
"443";5
"444";6
"445";5
"446";5
"447";1
"448";5
"449";5
"450";5
"451";5
"452";4
"453";5
"454";6
"455";5
"456";5
"457";5
"458";5
"459";5
"460";6
"461";6
"462";5
"463";5
"464";5
"465";5
"466";4
