"";"x"
"1";3
"2";5
"3";8
"4";2
"5";6
"6";1
"7";3
"8";8
"9";8
"10";3
"11";6
"12";6
"13";3
"14";6
"15";8
"16";8
"17";7
"18";6
"19";6
"20";7
"21";7
"22";4
"23";1
"24";9
"25";3
"26";3
"27";1
"28";6
"29";3
"30";1
"31";3
"32";1
"33";7
"34";1
"35";6
"36";1
"37";3
"38";1
"39";2
"40";8
"41";9
"42";7
"43";3
"44";9
"45";6
"46";6
"47";2
"48";9
"49";8
"50";2
"51";8
"52";3
"53";8
"54";7
"55";3
"56";7
"57";3
"58";6
"59";3
"60";1
"61";3
"62";3
"63";6
"64";3
"65";1
"66";7
"67";3
"68";3
"69";3
"70";6
"71";3
"72";3
"73";7
"74";1
"75";6
"76";1
"77";6
"78";7
"79";3
"80";6
"81";6
"82";1
"83";1
"84";1
"85";2
"86";2
"87";6
"88";1
"89";8
"90";6
"91";1
"92";6
"93";6
"94";3
"95";7
"96";3
"97";6
"98";8
"99";6
"100";1
"101";8
"102";8
"103";9
"104";7
"105";8
"106";6
"107";8
"108";9
"109";7
"110";5
"111";4
"112";6
"113";7
"114";1
"115";7
"116";3
"117";3
"118";7
"119";3
"120";1
"121";1
"122";1
"123";7
"124";5
"125";5
"126";5
"127";5
"128";3
"129";9
"130";5
"131";2
"132";9
"133";3
"134";5
"135";5
"136";5
"137";5
"138";5
"139";5
"140";5
"141";5
"142";2
"143";2
"144";2
"145";2
"146";2
"147";3
"148";9
"149";9
"150";2
"151";4
"152";9
"153";9
"154";9
"155";9
"156";9
"157";9
"158";2
"159";9
"160";2
"161";2
"162";6
"163";1
"164";2
"165";2
"166";2
"167";2
"168";2
"169";2
"170";2
"171";2
"172";5
"173";2
"174";3
"175";3
"176";2
"177";5
"178";9
"179";7
"180";7
"181";7
"182";4
"183";5
"184";5
"185";2
"186";9
"187";2
"188";9
"189";2
"190";5
"191";9
"192";2
"193";2
"194";2
"195";9
"196";2
"197";1
"198";9
"199";2
"200";2
"201";4
"202";2
"203";9
"204";9
"205";9
"206";3
"207";9
"208";9
"209";9
"210";4
"211";2
"212";9
"213";9
"214";9
"215";2
"216";9
"217";9
"218";9
"219";2
"220";2
"221";2
"222";7
"223";5
"224";3
"225";3
"226";5
"227";5
"228";5
"229";5
"230";5
"231";5
"232";5
"233";5
"234";5
"235";5
"236";5
"237";5
"238";5
"239";5
"240";2
"241";5
"242";5
"243";5
"244";5
"245";5
"246";2
"247";5
"248";8
"249";5
"250";5
"251";5
"252";5
"253";5
"254";1
"255";1
"256";8
"257";5
"258";5
"259";5
"260";5
"261";5
"262";5
"263";3
"264";3
"265";3
"266";3
"267";5
"268";5
"269";2
"270";5
"271";3
"272";5
"273";3
"274";5
"275";5
"276";3
"277";9
"278";9
"279";5
"280";3
"281";5
"282";5
"283";5
"284";5
"285";3
"286";3
"287";3
"288";6
"289";3
"290";5
"291";5
"292";5
"293";9
"294";9
"295";9
"296";9
"297";9
"298";9
"299";9
"300";9
"301";9
"302";9
"303";9
"304";9
"305";9
"306";9
"307";9
"308";9
"309";9
"310";9
"311";9
"312";7
"313";7
"314";9
"315";9
"316";3
"317";3
"318";4
"319";4
"320";4
"321";4
"322";4
"323";4
"324";4
"325";4
"326";4
"327";4
"328";4
"329";4
"330";4
"331";4
"332";4
"333";4
"334";4
"335";4
"336";4
"337";4
"338";4
"339";4
"340";4
"341";4
"342";4
"343";4
"344";2
"345";2
"346";2
"347";2
"348";2
"349";2
"350";2
"351";2
"352";2
"353";2
"354";3
"355";4
"356";2
"357";2
"358";2
"359";2
"360";2
"361";2
"362";2
"363";2
"364";2
"365";2
"366";2
"367";9
"368";9
"369";3
"370";6
"371";1
"372";2
"373";9
"374";3
"375";9
"376";4
"377";4
"378";4
"379";9
"380";9
"381";4
"382";1
"383";1
"384";1
"385";1
"386";1
"387";1
"388";1
"389";1
"390";4
"391";6
"392";2
"393";9
"394";9
"395";9
"396";7
"397";9
"398";2
"399";9
"400";4
"401";9
"402";4
"403";9
"404";2
"405";4
"406";9
"407";9
"408";9
"409";2
"410";9
"411";9
"412";9
"413";7
"414";4
"415";4
"416";4
"417";4
"418";4
"419";4
"420";2
"421";4
"422";9
"423";9
"424";9
"425";4
"426";4
"427";9
"428";2
"429";2
"430";3
"431";9
"432";9
"433";9
"434";4
"435";4
"436";4
"437";2
"438";9
"439";9
"440";9
"441";9
"442";9
"443";6
"444";2
"445";6
"446";3
"447";7
"448";3
"449";8
"450";6
"451";6
"452";3
"453";8
"454";2
"455";6
"456";6
"457";6
"458";6
"459";6
"460";2
"461";2
"462";8
"463";8
"464";3
"465";8
"466";3
