"";"x"
"1";4
"2";3
"3";7
"4";10
"5";7
"6";1
"7";4
"8";7
"9";7
"10";5
"11";7
"12";7
"13";4
"14";7
"15";10
"16";7
"17";5
"18";7
"19";10
"20";5
"21";5
"22";11
"23";1
"24";4
"25";4
"26";1
"27";6
"28";7
"29";6
"30";1
"31";5
"32";6
"33";6
"34";6
"35";7
"36";6
"37";10
"38";6
"39";10
"40";7
"41";2
"42";5
"43";4
"44";2
"45";7
"46";7
"47";11
"48";4
"49";7
"50";11
"51";7
"52";4
"53";7
"54";5
"55";5
"56";5
"57";5
"58";7
"59";4
"60";6
"61";5
"62";4
"63";7
"64";10
"65";6
"66";2
"67";5
"68";4
"69";4
"70";7
"71";4
"72";4
"73";10
"74";6
"75";7
"76";1
"77";7
"78";6
"79";5
"80";1
"81";7
"82";1
"83";6
"84";6
"85";10
"86";8
"87";7
"88";1
"89";7
"90";7
"91";1
"92";7
"93";7
"94";6
"95";5
"96";5
"97";1
"98";7
"99";7
"100";6
"101";7
"102";7
"103";8
"104";5
"105";5
"106";7
"107";7
"108";2
"109";5
"110";3
"111";10
"112";7
"113";5
"114";6
"115";10
"116";5
"117";5
"118";5
"119";5
"120";6
"121";1
"122";1
"123";5
"124";3
"125";3
"126";3
"127";3
"128";4
"129";4
"130";3
"131";10
"132";2
"133";3
"134";3
"135";3
"136";3
"137";3
"138";3
"139";3
"140";3
"141";3
"142";1
"143";8
"144";8
"145";1
"146";1
"147";4
"148";8
"149";8
"150";8
"151";11
"152";8
"153";8
"154";8
"155";8
"156";8
"157";8
"158";8
"159";8
"160";8
"161";10
"162";7
"163";6
"164";8
"165";8
"166";1
"167";8
"168";8
"169";8
"170";8
"171";8
"172";3
"173";10
"174";7
"175";4
"176";1
"177";3
"178";2
"179";2
"180";2
"181";2
"182";11
"183";3
"184";3
"185";8
"186";8
"187";10
"188";8
"189";8
"190";3
"191";2
"192";8
"193";8
"194";8
"195";8
"196";8
"197";1
"198";8
"199";8
"200";8
"201";11
"202";8
"203";8
"204";8
"205";4
"206";4
"207";8
"208";2
"209";4
"210";11
"211";11
"212";2
"213";2
"214";8
"215";8
"216";2
"217";2
"218";2
"219";8
"220";11
"221";8
"222";2
"223";3
"224";5
"225";3
"226";3
"227";3
"228";3
"229";3
"230";3
"231";3
"232";3
"233";3
"234";3
"235";3
"236";3
"237";3
"238";3
"239";3
"240";8
"241";3
"242";3
"243";3
"244";3
"245";3
"246";10
"247";3
"248";7
"249";3
"250";3
"251";3
"252";3
"253";3
"254";6
"255";6
"256";7
"257";10
"258";3
"259";3
"260";3
"261";3
"262";3
"263";4
"264";4
"265";4
"266";4
"267";3
"268";3
"269";8
"270";3
"271";4
"272";3
"273";4
"274";3
"275";3
"276";4
"277";4
"278";4
"279";3
"280";4
"281";3
"282";3
"283";3
"284";3
"285";4
"286";4
"287";4
"288";7
"289";4
"290";3
"291";3
"292";3
"293";2
"294";2
"295";2
"296";2
"297";2
"298";2
"299";2
"300";2
"301";2
"302";2
"303";2
"304";2
"305";2
"306";2
"307";2
"308";2
"309";2
"310";2
"311";2
"312";5
"313";5
"314";2
"315";2
"316";4
"317";4
"318";11
"319";11
"320";11
"321";11
"322";11
"323";11
"324";11
"325";11
"326";11
"327";11
"328";11
"329";11
"330";11
"331";11
"332";11
"333";11
"334";11
"335";11
"336";11
"337";11
"338";11
"339";11
"340";11
"341";11
"342";9
"343";11
"344";11
"345";11
"346";11
"347";11
"348";10
"349";11
"350";10
"351";11
"352";11
"353";10
"354";10
"355";11
"356";11
"357";11
"358";11
"359";11
"360";11
"361";11
"362";8
"363";8
"364";11
"365";11
"366";10
"367";2
"368";8
"369";4
"370";1
"371";6
"372";8
"373";2
"374";4
"375";8
"376";11
"377";11
"378";11
"379";8
"380";2
"381";11
"382";6
"383";6
"384";6
"385";6
"386";6
"387";6
"388";6
"389";6
"390";11
"391";7
"392";11
"393";2
"394";8
"395";2
"396";5
"397";2
"398";11
"399";2
"400";11
"401";2
"402";9
"403";8
"404";1
"405";11
"406";8
"407";2
"408";8
"409";8
"410";8
"411";2
"412";2
"413";10
"414";9
"415";11
"416";9
"417";9
"418";9
"419";9
"420";8
"421";11
"422";2
"423";2
"424";2
"425";9
"426";9
"427";8
"428";11
"429";1
"430";4
"431";8
"432";2
"433";2
"434";11
"435";11
"436";9
"437";11
"438";2
"439";2
"440";2
"441";2
"442";2
"443";7
"444";10
"445";7
"446";4
"447";5
"448";7
"449";7
"450";7
"451";7
"452";1
"453";7
"454";8
"455";7
"456";7
"457";7
"458";7
"459";7
"460";10
"461";8
"462";7
"463";7
"464";4
"465";7
"466";4
